AHY2U;AIG2U;ISICIN01;Issuer List;Sector
;;FirstRand Bank Limited;FIRSTRAND BANK LTD;Bank
;;FirstRand Bank Limited ii;FIRSTRAND BANK LTD;Bank
;;FirstRand Bank Limited i;FIRSTRAND BANK LTD;Bank
;;Standard Bank Group Limited;STANDARD BANK LTD;Bank
;;Standard Bank Group Limited i;STANDARD BANK LTD;Bank
;;Standard Bank Group Limited ii;STANDARD BANK LTD;Bank
;;Standard Bank Group Limited iii;STANDARD BANK LTD;Bank
;;;STANDARD BANK NAMIBIA LIMITED;Bank
;;Barclays Africa Group Limited;ABSA BANK LTD;Bank
;;Barclays Africa Group Limited i;ABSA BANK LTD;Bank
;;Barclays Africa Group Limited ii;ABSA BANK LTD;Bank
;;Nedbank Ltd;NEDBANK LTD;Bank
;;;CAPITEC BANK;Bank
;;;AFRICAN BANK LIMITED;Bank
;;;INVESTEC BANK LTD;Bank
;;;GRINDROD BANK LTD;Bank
;;;ASHBURTON;Bank
;;;MERCANTILE BANK;Bank
;OLD MUTUAL FINANCE HOUSE 1 (PTY) LTD;;OLD MUTUAL;Insurance
;OLD MUTUAL FINANCE PROPRIETY LTD;;OLD MUTUAL;Insurance
;DISCOVERY LIMITED;Discovery Limited;DISCOVERY LTD;Insurance
;;Discovery Limited i;DISCOVERY LTD;Insurance
;;Discovery Limited ii;DISCOVERY LTD;Insurance
;;Discovery Limited iii;DISCOVERY LTD;Insurance
;;;SANTAM;Insurance
;;;SANLAM;Insurance
;;;LIBERTY GROUP;Insurance
;;;MMI GROUP;Insurance
;;;RSA GOVERNMENT;Sovereign
;;;THE REPUBLIC OF NAMIBIA;Sovereign
;INDUSTRIAL DEVELOPMENT CORPORATION OF S A LTD;;INDUSTRIAL DEVELOPMENT CORPORATION SA LTD;SOE
;INDUSTRIAL DEVELOPMENT CORPORATION OF SA LTD;;INDUSTRIAL DEVELOPMENT CORPORATION SA LTD;SOE
;;;AIRPORTS CO SOUTH AFRICA;SOE
;;;LANDBANK;SOE
;TRANSNET SOC LIMITED;;TRANSNET SOC LTD;SOE
;;TCTA;TCTA;SOE
;;TCTA ii;TCTA;SOE
;;;SANRAL;SOE
;DEVELOPMENT BANK OF SOUTHERN AFRICA LIMITED;;DEVELOPMENT BANK OF SOUTHERN AFRICA;SOE
;;;ESKOM;SOE
;;;DENEL SOC LTD;SOE
;MTN TREASURY LIMITED;;MOBILE TELEPHONE NETWORK HOLDINGS PTY LTD;Telecom
;;MTN Holdings Limited;MOBILE TELEPHONE NETWORK HOLDINGS PTY LTD;Telecom
;;MTN Holdings Limited ii;MOBILE TELEPHONE NETWORK HOLDINGS PTY LTD;Telecom
;MOBILE TELEPHONE NETWORKS HOLDINGS LIMITED;;MOBILE TELEPHONE NETWORK HOLDINGS PTY LTD;Telecom
;BIDVESTCO LTD;;BIDVESTCO LIMITED;Industrial
;NETCARE LTD;;NETCARE;Healthcare
;BARLOWORLD ;;BARLOWORLD;Industrial
;TELKOM;;TELKOM;Telecom
;TELKOM SA SOC LTD;;TELKOM;Telecom
;PEPKORFIN (PTY) LTD;;PEPKOR HOLDINGS LTD;Retail
;MEDICLINIC INTERNATIONAL LIMITED;;MEDICLINIC LTD;Healthcare
;EXXARO RESOURCES LIMITED;;EXXARO;Mining
;;KAP Industrial Holdings Limited;KAP INDUSTRIAL HOLDINGS;Industrial
;;;NORTHAM PLATINUM;Mining
;;;TRANSACTION CAPITAL;Auto
;;;MW ASSET RENTALS (RF) LIMITED;Securitization
;;;THEKWINI;Securitization
;;;TRUE SOUTH ISSUER PTY LTD;Securitization
;;;TRUE SOUTH ISSUER 1 PTY LTD;Securitization
;GROWTHPOINT PROPERTIES LTD;Growthpoint Property Limited;GROWTHPOINT PROPERTIES LIMITED;Real Estate
;REDEFINE PROPERTIES LTD;;REDEFINE PROPERTIES;Real Estate
;;;INVESTEC PROPERTY FUND;Real Estate
;;;EQUITES PROPERTY FUND LIMITED;Real Estate
;;;VUKILE PROPERTY FUND LIMITED;Real Estate
;;;HYPROP INVESTMENTS LIMITED;Real Estate
;;;ANGLO AMERICAN SA FINANCE;Mining
;;Mercedes Benz Financial Services Limited;MERCEDES-BENZ SOUTH AFRICA LIMITED;Auto
;Toyota Financial Services (South Africa) Ltd;Toyota Financial Services Limited;TOYOTA;Auto
;TOYOTA FINANCIAL SERVICES (SOUTH AFRICA);;TOYOTA;Auto
;;;BNP PARIBAS;Bank
;;;NEW ISSUER;
;;;NORTHCHESTER (RF) LTD;Securitization
;;;SOUTHCHESTER (RF) LTD;Securitization
;;;CITY OF CAPE TOWN;Municipality
;;;CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY;Municipality
;;;CITY OF EKURHULENI METROPOLITAN MUNICIPALITY;Municipality
;;;SAPPI SOUTHERN AFRICA LIMITED;Industrial
;;;AECI LIMITED;Industrial
;;;SUPER GROUP LIMITED;Industrial
;;;AMBER HOUSE;Securitization
;;;BAYPORT SECURITISATION (RF) LIMITED;Securitization
;;;NEDGROUP INVESTMENTS;Bank
;;;;
;;;;
;;;;
;;Peermont Global Proprietary Limited;PEERMONT GLOBAL PTY LTD;Leisure
;;UNI Industries Holdings Proprietary Limited;UNI INDSUTRIES HOLDINGS PTY LTD;Industrial
;;Tsebo Solutions Group (Pty) Ltd;TSEBO SOLUTIONS GROUP PTY LTD;Industrial
;;Arrowhead Property i;ARROWHEAD PROPERTIES LTD;Real Estate
;;Arrowhead Property  ii;ARROWHEAD PROPERTIES LTD;Real Estate
;TRANS-CALEDON TUNNEL AUTHORITY;Trans Caledon Tunnel Authority;TCTA;SOE
;;Remgro Limited;REMGRO LTD;Industrial
;;The Foschini Group;THE FOSCHINI GROUP;Retail
;WOOLWORTHS HOLDINGS LIMITED;Woolworths Limited;WOOLWORTHS HOLDINGS;Retail
;;RCL Foods Treasury (Pty) Limited ;RCL FOODS;Industrial
;;Aurora;AURORA;SOE
;;Karoshoek;KAROSHOEK;SOE
;;Kathu;KATHU;SOE
;;Sishen (Windfall 59);SISHEN;SOE
;;ACWA Bokpoort;ACWA BOKPOORT;SOE
;;IAM Money market + Allan Gray;INVESTEC BANK LTD;Bank
;;IAM Money Market;INVESTEC BANK LTD;Bank
;;Cash;NEDBANK LTD;Bank
;;Allan Gray Money Market;INVESTEC BANK LTD;Bank
;;UBI;UBUNTU-BOTHO INVESTMENTS;Telecom
;;Richefond Circle (RF) Limited  i;RICHEFOND CIRCLE (RF) LIMITED;Securitization
;;Richefond Circle (RF) Limited  ii;RICHEFOND CIRCLE (RF) LIMITED;Securitization
;;Richefond Circle (RF) Limited  iii;RICHEFOND CIRCLE (RF) LIMITED;Securitization
;;Assupol;ASSUPOL;Insurance
VIRGIN ACTIVE SOUTH AFRICA (PTY) LTD;;;VIRGIN ACTIVE SA PTY LTD;Leisure
Virgin Active South Africa (Pty)Ltd;;;VIRGIN ACTIVE SA PTY LTD;Leisure
VIRGIN ACTIVE PROPERTY COMPANY (PTY) LTD;;;VIRGIN ACTIVE SA PTY LTD;Leisure
SONAE ARAUCO SOUTH AFRICA (PTY) LTD;;;SONAE ARAUCO SA PTY LTD;Industrial
PRIMEDIA (PTY) LTD;;;PRIMEDIA PTY LTD;Industrial
AMROD ;;;AMROD;Retail
AMROD;;;AMROD;Retail
TAPESTRY HOME BRANDS (PTY) LTD;;;TAPESTRY HOME BRANDS PTY LTD;Retail
TISO BLACK STAR LIMITED;;;TISO BLACKSTAR LIMITED;Industrial
TISO BLACKSTAR (CYPRUS) LIMITED;;;TISO BLACKSTAR LIMITED;Industrial
TISO BLACKSTAR LIMITED;;;TISO BLACKSTAR LIMITED;Industrial
UNIVERSAL INDUSTRIES (PTY) LTD;;;UNI INDSUTRIES HOLDINGS PTY LTD;Industrial
SA TAXI DEVELOPMENT FINANCE (PTY) LTD;;;SA TAXI DEVELOPMENT FINANCE PTY LTD;Securitization
PEERMONT GLOBAL (PTY) LTD;;;PEERMONT GLOBAL PTY LTD;Leisure
LENMED INVESTMENTS LIMITED;;;LENMED INVESTMENTS LIMITED;Healthcare
AFRICAN MARINE SOLUTIONS INVESTMENTS (PTY) LTD;;;AFRICAN MARINE SOLUTIONS INVESTMENTS PTY LTD;Industrial
SERVEST (PTY) LTD;;;SERVEST PTY LTD;Industrial
TRACKER CONNECT (PTY) LTD;;;TRACKER CONNECT PTY LTD;Industrial
FIDELITY SECURITY GROUP (PTY) LTD;;;FIDELITY SECURITY GROUP PTY LTD;Industrial
ACTOM (Pty) Ltd;;;ACTOM PTY LTD;Mining
Actom Senior;;;ACTOM PTY LTD;Mining
ACTOM INVESTMENT HOLDINGS (PTY)LTD;;;ACTOM PTY LTD;Mining
Actom Subordinate;;;ACTOM PTY LTD;Mining
TRONOX;;;TRONOX;Mining
;TRONOX PROPRIETY LIMITED;;TRONOX;Mining
Vumatel (Pty) Ltd;;;VUMATEL PTY LTD;Telecom
DNI;;;DNI;Telecom
INANI PROPERTY HOLDINGS;;;INANI PROPERTY HOLDINGS;Real Estate
PREMIER FMCG (PTY) LTD;;;PREMIER FMCG PTY LTD;Industrial
THEBE;;;THEBE;Industrial
COMMUNITY INVESTMENT VENTURE HOLDINGS (PTY) LTD;;;CIVH PTY LTD;Telecom
Community Investment Ventures Holding Propriert Limited;;;CIVH PTY LTD;Telecom
Homechoice (PTY) LTD;;;HOMECHOICE PTY LTD;Retail
Homechoice;;;HOMECHOICE PTY LTD;Retail
Royal Bafokeng Resources (Pty) Ltd;;;ROYAL BAFOKENG RESOURCES  PTTY LTD;Mining
CONSOL HOLDINGS LTD;;;CONSOL HOLDINGS LTD;Industrial
;DISTELL LIMITED;;DISTELL LIMITED;Industrial
;RCL FOODS LTD;;RCL FOODS LTD;Industrial
PPC Cement SA Proprietary Limited - Facility A;;;PPC Cement Ltd;Industrial
PPC Cement SA Proprietary Limited - Facility C;;;PPC Cement Ltd;Industrial
PPC Cement SA Proprietary Limited;;;PPC Cement Ltd;Industrial
;IMPALA PLATINUM HOLDINGS LTD;;IMPALA PLATINUM HOLDINGS LTD;Mining
;FORTRESS INCOME 2 (PTY) LTD;;FORTRESS;Real Estate
;PARETO LIMITED;;PARETO LIMITED;Real Estate
PAN AFRICAN RESOURCES FUNDING COMPANY (PTY) LTD;PAN AFRICAN RESOURCES FUNDING COMPANY (PTY) LTD;;PAN AFRICAN RESOURCES;Mining
;;;PAN AFRICAN RESOURCES;Mining
;AFROX;;AFROX;Industrial
;FOSCHINI RETAIL GROUP (PTY) LTD;;THE FOSCHINI GROUP;Retail
;K2012150042 (SOUTH AFRICA) (PTY) LTD;;K2012150042 (PTY) LTD;Real Estate
;ASPEN PHARMACARE HOLDINGS LTD;Aspen;ASPEN;Healthcare
;LIFE HEALTHCARE GROUP (PTY) LTD;;LIFE HEALTHCARE;Healthcare
;NAMPAK PRODUCTS LIMITED;;NAMPAK;Industrial
;ITALTILE;;ITALTILE;Industrial
;COCA COLA PENINSULA PROPRIETARY LIMITED;;COCA COLA PENINSULA;Industrial
;MOTUS HOLDINGS LIMITED;;MOTUS;Industrial
ACCELERATE;ACCELERATE PROPERTY FUND LTD;;ACCELERATE PROPERTY FUND LTD;Real Estate
;EMIRA PROPERTY FUND LIMITED;;EMIRA PROPERTY FUND LIMITED;Real Estate
;RESILIENT PROPERTIES;;RESILIENT REIT LIMITED;Real Estate
;K2012150042 (SOUTH AFRICA) (PTY) LTD Facility D;;K2012150042 (PTY) LTD;Real Estate
;K2012150042 (SOUTH AFRICA) (PTY) LTD Facility K;;K2012150042 (PTY) LTD;Real Estate
;Shoprite;;SHOPRITE;Retail
;TSOGO SUN HOLDINGS (PTY) LTD;;TSOGO SUN LTD;Leisure
;TSOGO SUN GAMING LIMITED;;TSOGO SUN LTD;Leisure
;VODACOM (PTY) LTD;;VODACOM LTD;Telecom
Merchant Capital Debtco (RF) Proprietary Ltd;;;MERCHANT CAPITAL;Bank
;IHS TOWERS SOUTH AFRICA (PTY) LTD ;;IHS TOWERS SA PTY LTD;Telecom
Goldrush Group (Pty) Ltd;;;GOLDRUSH GROUP PTY LTD;Leisure
RTT Group (PTY) LTD ;;;RTT GROUP PTY LTD;Industrial
Custom Capital Finance Holdings SA (Pty) Ltd;;;CUSTOM CAPITAL FINANCE PTY LTD;Securitization
;GOMO VEHICLE SOLUTIONS PROPRIETARY LIMITED;;GOMO VEHICLE SOLUTIONS PTY LTD;Securitization
;MULTICHOICE GROUP TREASURY SERVICES (PTY) LTD;;MULTICHOICE PTY LTD;Telecom
Cash Connect Management Solutions (Pty) Ltd;;;CASH CONNECT MANAGEMENT SOLUTIONS PTY LTD;Telecom
Ardagh Glass Packaging South Africa Proprietary Limited;;;ARDAGH GLASS PTY LTD;Industrial
